DATE,sleep_hrs,Total_Prod.,p,WebD,webD-desW/P,PHP,React,RubyRails,Python,Python Data Analysis,Data Science,Django,Java,Java-Android,C,Swift,DB-studies,Db.visio,SQLServer,R,R-Rstudio,ProjectM.,3D modeling,photoshop,illustrator,substance(CAD),BA/SA,BootstrapStudio,vuejs,x,,,,,,,,,
5/26/2020,7.5,5.583,1.000,,,,,,4.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2020,6.5,10.250,2.417,,,,,,2.667,,,,,,,,,,,,,,,,,,5.167,,,,,,,,,,,,
5/28/2020,,6.583,0.500,,,,,,4.167,,,,,,,,0.667,,,,,,,,,,1.250,,,,,,,,,,,,
5/29/2020,6,8.500,3.333,,,,,,5.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2020,5,5.250,2.000,,,,,,1.000,,,,0.250,,,,,,,,,,,,,,2.000,,,,,,,,,,,,
5/31/2020,10,8.083,6.000,,,,,,,,,,1.583,,,,,,,,,,,,,,0.500,,,,,,,,,,,,
6/1/2020,7.5,4.583,1.917,,,,,,,,,,2.000,,,,,,,,,,,,,,0.667,,,,,,,,,,,,
6/2/2020,7,5.333,4.333,,,,,,,,,,,,,,,,,,,,,,,,1.000,,,,,,,,,,,,
6/3/2020,6,7.583,4.667,,,,,,,,,,,,,,,,,,,,,,,,2.917,,,,,,,,,,,,
6/4/2020,6,9.083,2.583,,,,,,,,,,,,,,,,,,,,,,,,6.500,,,,,,,,,,,,
6/5/2020,8,7.333,6.917,,,,,,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2020,7.5,3.333,0.667,,,,,,2.167,,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2020,6.5,1.333,0.833,,,,,,,,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2020,8.5,3.500,2.083,,,,,,,,,,1.417,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2020,6.5,4.083,0.750,,,,,,3.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2020,,5.000,3.000,,,,,,,,,,,,,,,,,,,,,,,,2.000,,,,,,,,,,,,
6/11/2020,6.5,8.500,2.167,,,,,,4.167,,,,,,,,,,,,,,,,,,2.167,,,,,,,,,,,,
6/12/2020,7.5,8.333,1.667,,,,,,3.750,,,,2.917,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2020,6,6.750,1.583,,,,,,2.333,,,,2.333,,,,,,,,,,,,,,0.500,,,,,,,,,,,,
6/14/2020,7,5.500,0.667,,,,,,1.000,,,,3.833,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2020,6.5,9.000,2.000,0.167,2.667,,,,0.667,,,2.500,0.917,,,,,,,,,,,,,,0.083,,,,,,,,,,,,
6/16/2020,8,8.750,1.000,2.500,3.500,,,,,,,0.750,,,,,,,,,,,,,,,1.000,,,,,,,,,,,,
6/17/2020,8,10.417,4.750,0.500,1.917,,,,,,,2.000,0.750,,,,,,,,,,,,,,0.500,,,,,,,,,,,,
6/18/2020,4,6.250,0.583,,2.333,,,,,,,2.333,,,,,,,,,,,,,,,1.000,,,,,,,,,,,,
6/19/2020,10,1.917,0.667,,,,,,1.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2020,8,2.333,0.167,,,,,,2.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2020,7.5,1.750,1.250,,,,,,,,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2020,7,2.667,0.333,,,,,,0.750,,,,1.583,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2020,7,2.000,0.833,,,,,,,,,,,,,,,,,,,,,,,,1.167,,,,,,,,,,,,
6/24/2020,8,4.667,3.333,,,,,,0.750,,,,,,,,,,,,,,,,,,0.583,,,,,,,,,,,,
6/25/2020,8,2.667,0.500,,,,,,,,,,,,,,,,,,,,,,,,2.167,,,,,,,,,,,,
6/26/2020,6.5,8.000,6.833,,,,,,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2020,6.5,4.333,0.417,,,,,,3.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2020,6,5.000,2.000,,,,,,2.500,,,,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2020,6,2.667,0.500,,,,,,1.000,,,,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2020,8,1.667,0.500,,,,,,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2020,,4.250,1.500,,,,,,2.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2020,6.5,7.417,7.000,,,,,,0.167,,,,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2020,9,5.500,2.500,,,,,,3.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2020,7,5.667,2.083,,,,,,2.333,,,,1.250,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2020,7,2.500,1.250,,,,,,,,,,1.250,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2020,6.5,6.417,1.250,,,,,,,,,,5.167,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2020,8,2.833,1.083,,,,,,1.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2020,7.5,3.333,1.333,,,,,,2.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2020,9.5,1.250,0.250,,,,,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2020,9.5,2.500,1.500,,,,,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2020,8,5.667,2.667,,,,,,3.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/12/2020,8.5,3.417,2.417,,,,,,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/13/2020,8,0.667,0.417,,,,,,0.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,8,0.667,0.250,,,,,,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2020,7.5,4.167,3.000,,,,,,0.583,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2020,8.5,3.833,1.417,,,,,,1.750,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2020,8.5,11.333,3.333,,,,,,8.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2020,6,9.917,4.250,,,,,,5.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2020,7.5,1.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2020,7.5,4.417,1.083,,,,,,0.667,1.667,,,,,,,,,,1.000,,,,,,,,,,,,,,,,,,,
